Diện tích sử dụng,Mã BĐS,price,Pháp lý,Ngày đăng,Nhà tắm,Phòng ngủ,address,Diện tích đất
100 m2,22712100,5 tỷ 800 triệu,Sổ đỏ,15/10/2025,1,2,"Đại La, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",
80 m2,22712094,4 tỷ 350 triệu,Sổ đỏ,15/10/2025,2,2,"Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",
90 m2,22711721,4 tỷ 580 triệu,Sổ đỏ,15/10/2025,2,3,"Nhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",
120 m2,22711722,4 tỷ 700 triệu,Sổ đỏ,15/10/2025,2,3,"Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",
100 m2,22711723,5 tỷ 400 triệu,Sổ đỏ,15/10/2025,2,3,"Yên Lạc, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",
90 m2,22711725,3 tỷ 680 triệu,Sổ đỏ,15/10/2025,2,3,"Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",
150 m2,22711720,4 tỷ 480 triệu,Sổ đỏ,15/10/2025,2,4,"Phố Nguyễn Ngọc Doãn, Phường Trung Tự, Quận Đống Đa, Hà Nội",
80 m2,22711719,4 tỷ 600 triệu,Sổ đỏ,15/10/2025,1,3,"Phố Kim Ngưu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",
70 m2,22711718,4 tỷ 80 triệu,Sổ đỏ,15/10/2025,1,2,"Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",
70 m2,22711692,3 tỷ 500 triệu,Sổ đỏ,15/10/2025,1,3,"Quỳnh Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",
50 m2,22711690,2 tỷ 790 triệu,Sổ đỏ,15/10/2025,1,2,"Lê Gia Định, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",
70 m2,22711689,3 tỷ 900 triệu,Sổ đỏ,15/10/2025,1,2,"Nguyễn Công Trứ, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",
80 m2,22711688,2 tỷ 990 triệu,Sổ đỏ,15/10/2025,1,2,"Bùi Ngọc Dương, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",
80 m2,22711684,3 tỷ 930 triệu,Sổ đỏ,15/10/2025,2,2,"Phan Văn Trường, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",
80 m2,22711687,4 tỷ 190 triệu,Sổ đỏ,15/10/2025,1,2,"Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",
60 m2,22710980,3 tỷ 880 triệu,Sổ đỏ,15/10/2025,2,2,"Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội",
60 m2,22710979,4 tỷ 280 triệu,Sổ đỏ,15/10/2025,1,2,"Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",
100 m2,22710975,6 tỷ 400 triệu,Không xác định,15/10/2025,2,3,"Hoàng Ngọc Phách, Phường Láng Hạ, Quận Đống Đa, Hà Nội",
65 m2,22710972,6 tỷ 500 triệu,Sổ đỏ,15/10/2025,2,2,"Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",
60 m2,22710969,3 tỷ 750 triệu,Sổ đỏ,15/10/2025,1,2,"Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",
65 m2,22710968,4 tỷ 590 triệu,Sổ đỏ,15/10/2025,1,2,"Ngõ Thịnh Hào 1, Phường Hàng Bột, Quận Đống Đa, Hà Nội",
60 m2,22710961,4 tỷ 990 triệu,Sổ đỏ,15/10/2025,2,2,"Hàng Bông, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội",
55 m2,22710950,6 tỷ 500 triệu,Sổ đỏ,15/10/2025,1,2,"Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",
60 m2,22710943,4 tỷ 450 triệu,Sổ đỏ,15/10/2025,1,2,"Nguyễn Khắc Nhu, Phường Trúc Bạch, Quận Ba Đình, Hà Nội",
55 m2,22710910,4 tỷ 800 triệu,Sổ đỏ,15/10/2025,1,2,"Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội",
90 m2,22710908,6 tỷ 600 triệu,Sổ đỏ,15/10/2025,1,2,"Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội",
65 m2,22710904,6 tỷ 900 triệu,Sổ đỏ,15/10/2025,1,2,"Đặng Dung, Phường Trúc Bạch, Quận Ba Đình, Hà Nội",
70 m2,22710900,5 tỷ 400 triệu,Sổ đỏ,15/10/2025,2,2,"Hoè Nhai, Phường Nguyễn Trung Trực, Quận Ba Đình, Hà Nội",
50 m2,22710897,2 tỷ 250 triệu,Sổ đỏ,15/10/2025,1,2,"Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",
47 m2,22712106,11 tỷ 300 triệu,Sổ đỏ,15/10/2025,4,6,"Bế Văn Đàn, Phường Quang Trung, Quận Hà Đông, Hà Nội",47 m2(4x12)
95 m2,22710889,5 tỷ 990 triệu,Sổ đỏ,15/10/2025,2,3,"Kim Mã Thượng, Phường Cống Vị, Quận Ba Đình, Hà Nội",
59 m2,22712105,14 tỷ 300 triệu,Sổ đỏ,15/10/2025,5,6,"Ngô Thì Nhậm, Phường Quang Trung, Quận Hà Đông, Hà Nội","59 m2(4,1x14,5)"
55 m2,22710887,4 tỷ 990 triệu,Sổ đỏ,15/10/2025,1,2,"Đào Tấn, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",
54 m2,22712103,13 tỷ 500 triệu,Sổ đỏ,15/10/2025,4,7,"Ngô Quyền, Phường Vạn Phúc, Quận Hà Đông, Hà Nội","54 m2(4,3x12,6)"
120 m2,22710885,4 tỷ 990 triệu,Sổ đỏ,15/10/2025,2,4,"Phố Đào Tấn, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",
52 m2,22712102,13 tỷ 700 triệu,Sổ đỏ,15/10/2025,3,4,"Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",52 m2(4x12)
65 m2,22710882,5 tỷ 950 triệu,Sổ đỏ,15/10/2025,1,2,"Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội",
